ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,defaultpaymentnextmonth
24,,2,,1,40,-2,-2,,-2,-2,-2,,19420,1473,,574.640278,0,19428,1473,,-545.7249985,0,1128,1
25,,1,,2,23,0,0,0,-1,0,0,4744,,,5398,,8292,5757,0,-4599.164885,2282.204257,,2000,0
26,37013.76328,,3,2,23,0,0,0,0,0,0,47620,,,28967,16433.9141,30046,1973,1426,-36757.95069,1516.545035,1062,997,0
27,57237.03757,,1,2,27,,-2,-1,,-2,,-109,,259,,12703.37942,-189,0,1000,65498.52798,2338.094357,,1000,1
28,,2,3,2,30,0,0,0,,0,0,22541,,17163,,15322.40331,19617,1300,1300,79896.0504,5836.8303,,1012,0
29,38120.79425,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,,39852.93413,257,,3421,-23731.16233,33707.32631,,0,0
30,44945.17707,1,1,2,26,0,,0,0,,0,15329,16575,17496,17907,14188.22413,,1500,1500,-44250.74329,,1600,0,0
31,,2,1,,,-1,-1,,,-1,-1,16646,17265,13266,15339,21617.5603,36923,17270,,435098.6071,16885.55618,,0,0
32,39556.57194,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,,23680,1718,,70989.76073,-2814.865971,1000,716,1
33,100971.3557,,1,,32,0,0,0,,0,0,93036,84071,82880,80958,76491.28956,,,,-30867.9569,4108.247776,,2504,0
34,515843.0167,2,,1,54,-2,-2,-2,-2,-2,,,4152,,7521,75915.11326,8981,,,-13489.51323,73465.21991,981,51582,0
35,3611301,-1,-1,-1,-58,,-2,-1,,-2,-9,13709,5006,31130,,-204412.2258,5293,5006,31178,-136085.9781,16049.45344,5293,,1
36,8706856.965,,,-2,,-1,-1,-2,-2,-1,-1,30265,-131,-527,,-107391.729,,131,396,18308.98649,,792,,1
37,292862.0045,1,2,,40,0,,0,0,,0,186503,181328,180422,170410,163930.7726,177413,,8060,101565.0938,5365.351809,6400,,0
38,,2,,2,22,,0,0,,0,-1,,9806,11068,6026,-24237.69421,,,1518,229597.2838,,47671,,0
39,57415.41515,1,1,2,,1,-1,-1,,-1,-2,0,,0,0,5266.771917,0,780,0,34666.74406,198.7109581,0,0,1
40,306847.1932,1,1,2,,-1,-1,2,-1,-1,-1,498,9075,4641,9976,,9477,9075,,18719.833,9236.509042,9525,,0
41,330574.947,1,1,2,,0,0,0,0,0,0,,221296,206895,628699,207016.9413,179224,10000,,18956.48045,,28000,4000,0
42,,2,,2,25,0,0,0,0,0,0,67521,66999,,63699,63292.06537,65970,3000,4500,87046.34415,1205.190953,2800,2500,0
43,33954.87918,1,2,2,22,0,0,,0,0,0,,3184,6003,,,4451,1500,2927,47006.24716,,,500,0
44,8261608.953,,-2,,-37,,0,0,0,0,0,59504,61544,62925,64280,3060492.678,69802,3000,3000,174827.5337,73327.23597,4000,3000,0
45,38241.22107,,,,,,0,0,2,0,0,,21295,25921,25209,38162.86896,,,5000,-10277.58506,719.7825322,,0,0
46,,,1,2,,-2,-2,-2,-2,-2,,,0,,,7811.257032,,0,0,,-1607.809117,0,0,1
47,1051044.764,-2,-1,,,,2,-1,-5,2,6,,16484,15800,16341,-632815.2809,0,3000,0,-26653.9145,12170.64875,0,,0
48,,2,5,2,46,0,0,-1,0,0,-2,4463,3034,,1170,,0,1013,1170,-3775.170175,-3505.816969,0,,1
49,,,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11048.00078,,21540,15138,75538.32424,,11875,,0
50,26245.8787,1,1,2,24,0,0,,,0,,17447,18479,19476,,,20063,1318,,195661.6443,568.0303426,912,1069,0
51,60078.07532,1,3,2,42,1,2,2,2,2,0,37042,,38355,,37819.39622,39362,0,3100,,-1835.484969,1500,1500,1
52,125826.6424,,3,,43,0,0,-7,0,0,0,61559,51163,43824,,41586.60528,33258,2000,1606,62684.7213,2423.928584,1500,,0
53,,,-2,-1,-49,-9,10,14,-3,10,1,13465,7867,7600,11185,-265256.0139,464,7875,7600,-85811.59365,,464,0,1
54,182221.0944,2,1,2,,1,2,0,0,2,0,41402,41742,42758,43510,,,1300,2010,8732.378401,1559.373637,,1622,0
55,151015.5517,,1,,29,2,,0,0,,0,46224,,31434,,27804.10285,16540,1600,1718,,,2000,5000,0
56,492487.6078,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,,280.4701725,2530,3640,,1.249298253,386.9374028,2530,0,0
57,191327.6361,2,3,,34,0,0,0,,0,-1,16386,,8441,,,8321,,,101693.7481,-3881.605693,9000,2000,0
58,199786.9944,2,,1,,,0,0,0,0,0,175886,173440,172308,168608,138919.5122,129918,8083,,126720.361,7227.02898,4816,3800,0
59,174844.9669,,,2,34,,3,2,2,3,2,1587,1098,782,,,,0,0,17806.4397,,1200,,0
60,,2,2,,29,,0,0,0,0,,,398857,,360199,349813.6749,364089,17000,15029,,14701.39229,12000,23000,0
61,483565.397,2,3,1,28,0,0,,0,0,0,22848,,18878,14937,16106.84249,15571,1516,1300,,889.3016984,,2000,0
62,,1,,1,39,0,0,0,,0,-1,70800,72060,69938,16518,11913.26747,830,4025,2095,-90235.80782,2681.789074,3000,0,0
63,73326.161,1,1,,29,2,2,,2,2,2,,,26591,,18386.31247,28264,,,54163.08776,-1631.502568,,0,1
64,38107.06724,2,2,1,,0,0,0,-2,0,-2,,,,0,-4495.906821,0,1000,0,246302.762,-2624.523549,0,0,1
65,135039.3618,2,2,1,51,-1,-1,-2,,-1,-1,,0,,0,-639.9230146,0,0,,61797.13854,-1085.196493,,0,0
66,,1,,,57,-2,-2,-2,-1,-2,2,,148751,,,,7918,,,-86746.99377,,0,,1
67,-341.4693245,1,2,1,56,2,2,2,0,2,,2097,4193,,4062,,4326,2300,0,78628.66681,2384.973295,200,,1
68,219499.6104,2,,2,30,2,-1,,-1,-1,-1,300,300,1159,2280,-6077.61494,4250,300,1159,4379.333326,-419.0032549,,,0
69,,2,,2,29,1,,,-1,,-1,-190,-9850,-9850,10311,13606.29,7319,0,0,-76391.20528,2804.515506,,13899,0
70,9523.830807,1,,2,,2,0,,,0,0,,17204,17285,18085,994.9484097,5982,0,1200,,2592.602087,1000,0,0
71,94785.07005,,,,31,,-1,-1,-1,-1,-1,,0,390,,,,0,390,-77550.15369,,390,390,0
72,,1,2,2,29,2,2,2,2,2,2,58267,59246,,,51965.84509,63526,2500,2500,,5368.082058,2400,1600,0
73,,2,2,1,,,,-1,-1,,-1,9076,5787,-684,,8008.32636,3151,5818,,,,3165,1395,0
74,271464.36,2,1,2,37,1,-2,-1,,-2,-1,0,0,3155,0,5839.388993,,0,3155,83102.14351,2957.365997,0,0,0
75,321661.5261,,1,2,32,-1,-1,-1,-1,-1,-1,,5550,23337,4291,,25820,,23453,202314.7689,80420.47288,25949,2016,0
76,1651.434532,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,25588.50666,,2850,0,76052.03321,1523.069425,1500,0,0
77,41104.49907,1,3,,,-1,,0,0,,0,42838,,36087,9636,17696.68068,10030,1759,1779,91612.58866,-3461.25645,1000,1000,0
78,335096.9835,2,,1,,-1,-1,-1,-1,-1,-1,,291,,,,291,,,35964.43899,1648.703277,,,0
79,20274.40079,2,2,2,22,,0,,0,0,0,28387,29612,30326,28004,15875.92283,,1686,,,3691.427928,1765,0,1
80,228351.2687,2,2,2,44,1,-2,,-2,-2,-2,0,0,0,,14001.67163,0,0,,120652.1458,2290.912525,0,0,1
81,489006.3555,2,3,3,33,,0,0,0,0,0,165254,157784,,,44542.84326,29889,,7566,261859.3887,375.2374055,,3000,0
82,,2,1,2,,0,0,0,,0,-1,,27796,,33100,167785.1596,,4796,3400,-18930.09311,148468.3301,,2963,0
83,58903.84535,1,3,2,30,0,0,0,0,0,0,,,28108,,,19771,1576,1213,-8374.592425,1463.305712,1140,,1
84,424744.6405,2,2,1,,,0,2,0,0,0,131595,,126819,,103123.3036,,,,,6027.065659,3200,,0
85,,2,,,49,0,0,0,0,0,0,48909,47863,21489,20414,,19482,1676,,,3850.857142,849,826,0
86,148151.3126,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,,113554.0574,,4400,3547,,,4800,,0
87,,,,,45,-1,,,,,-1,390,1170,780,390,13735.389,390,1170,0,70410.1383,-1796.062137,390,390,1
88,187986.2175,2,2,2,32,0,,0,0,,-1,,,6604,8604,-973.4336747,766,1147,2000,19188.74216,,766,2303,0
89,159812.9838,2,1,1,,,,,,,-1,81313,,17740,1330,13835.55752,1190,40000,,71146.30265,,1190,2090,0
90,-24381.2658,1,3,2,44,,2,0,0,2,,8583,,9651,10488,,,0,1651,,315.2015081,0,1500,0
91,230696.7758,1,1,1,53,2,2,2,,2,2,,140774,,144098,147495.4526,149531,6300,5500,-48012.9456,2880.696712,5000,5000,1
92,,2,,2,39,-1,-1,,0,-1,,7524,0,3968,3868,9146.686625,0,0,3968,17945.65931,-3427.45454,0,0,0
93,3611301,-2,-1,-2,-27,-9,1,1,-2,1,-4,,5555,0,0,,0,7555,0,,11121.91791,0,0,1
94,,2,,1,37,,-1,-1,-1,-1,,,1602,840,840,-12229.61571,0,1602,840,59350.10977,-571.5720872,,,0
95,,2,2,2,23,0,0,,0,0,,45648,,47214,19595,4748.563646,19323,,1301,-73437.47861,836.1923649,816,835,0
96,,,2,2,35,,0,0,,0,0,83725,85996,87653,,,,3621,,17571.32167,-2272.67509,1104,1143,0
97,3611301,-1,-1,-1,-43,,11,-2,2,11,1,3967,8322,3394,6451,-669717.9482,9956,8339,3394,-119509.6932,-339397.5409,0,,1
98,157197.6919,1,1,2,27,0,0,0,,0,0,86009,86108,,89775,90039.22898,,4031,10006,,4397.908535,,800,0
99,23915.37152,,,1,22,0,,0,0,,,18722,18160,16997,13150,3523.384757,7899,1411,1194,11261.36732,,321,197,0
100,-666134.2557,-1,-2,-1,,,8,-2,1,8,3,17973,19367,19559,18240,-700800.089,150,1699,1460,-10900.07815,-53210.42486,,0,0
101,184525.7213,,1,2,32,,-2,-2,-2,-2,-2,,10212,850,415,5510.028001,1430,10212,850,4138.824759,-3675.522091,1430,0,0
102,374958.5284,2,,2,30,-2,-2,-1,0,-2,0,-81,,,32891,25964.11017,,,33178,55261.00409,2199.517832,1250,5000,0
103,440666.4266,,,,,0,,0,2,,0,422069,431342,479432,487066,,469961,16078,55693,-1222.306446,-1850.726666,,24200,0
104,45638.97511,2,3,2,22,,0,0,,0,0,,42254,38347,32496,4426.862099,24094,1767,1362,23781.17496,-1936.469537,995,904,1
105,65130.47724,2,2,2,26,2,2,2,,2,0,,,,60218,46659.64709,,0,5000,54843.54383,2379.23262,,3000,0
106,108268.6607,2,2,2,24,-1,-1,-2,,-1,-1,5580,,,0,-3335.999331,,0,,,574.0068396,,2000,0
107,,2,2,,36,,-1,-1,-1,-1,-1,,2861,3277,3319,2460.82128,1150,,3279,,,1150,,0
108,,,1,2,,-1,-1,-1,-1,-1,-1,713,,,,4520.692334,,2272,722,,1686.09857,5263,5011,0
109,136129.9786,1,2,,38,0,0,0,-1,0,-1,171438,178382,39940,120483,35903.77303,126568,,0,-49245.09225,6197.359142,,,0
110,371218.9939,1,2,1,35,,-2,,-2,-2,-2,-103,,,,13719.65683,-103,0,0,550239.5227,,0,0,0
111,,2,1,1,31,0,0,2,0,0,0,,108431,,105896,114359.0111,107289,9260,0,197255.6908,4897.127027,15794,0,0
112,,1,,1,,,0,2,,0,0,,,,15928,4128.487392,17393,2000,1000,-85671.89938,,1000,,0
113,304180.2844,,,1,41,,2,2,2,2,3,135673,138532,,144401,159522.2279,149415,6500,0,-47739.67336,15518.65516,0,,0
114,113923.7794,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,58640.74793,,2000,2677,9740.703453,5181.083123,3000,2033,0
115,28771.50138,,2,2,41,0,0,0,0,0,,19015,19294,20259,20274,,19957,1340,,46745.40603,1986.340962,724,684,0
116,39880.33265,,,2,24,-1,2,0,0,2,2,,17618,18631,21319,17147.99626,21201,0,1312,18084.40802,-2546.301482,1000,1000,1
117,248596.5669,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,-3209.073403,,,,,2096.664373,,526,0
118,85458.52176,1,2,2,26,2,0,0,0,0,0,14029,,16630,,11344.72868,18186,2000,1700,62935.75817,1287.897159,,,1
119,,1,2,1,,-1,-1,-1,-1,-1,-1,,,11867,,24180.58665,7959,9677,,-26499.01881,18069.15478,7959,5712,0
120,,2,2,2,38,0,,,0,,-1,,51445,53015,,,,2000,3000,-52303.0575,-1279.955951,1203,,0
121,47332.68995,,3,,,2,,2,3,,2,46004,45976,48953,48851,43451.42095,,1000,4035,138977.3147,-1069.115967,,0,1
122,,,-1,,-40,5,11,1,-1,11,-1,0,0,0,0,,0,0,,-27632.26067,,0,0,0
123,145429.5492,,1,1,48,1,,-2,-2,,-2,0,0,0,,4001.963209,0,0,0,-74402.87156,637.0653124,,0,0
124,304770.0935,2,2,1,35,,0,,0,0,0,,311243,306314,258610,235282.5541,198889,13019,11128,47106.95311,,,5987,0
125,,,1,,,0,,0,,,,19115,18962,19298,19378,21808.44428,15630,1404,1130,,-2989.550816,313,0,0
126,,1,,2,23,,-2,-2,-2,-2,-2,0,0,,0,1052.121952,0,,0,-9839.259727,-278.64747,,,0
127,219842.3381,1,3,,52,0,0,0,0,0,0,,,98951,100914,114731.8839,104993,3568,3585,61250.43802,3075.357915,3669,3784,0
128,11399502.44,,,,-36,0,2,1,0,2,-7,163736,116422,,95766,4285400.044,95927,,,170948.3821,94807.2595,2217,,0
129,58148.99562,1,,1,51,,0,0,0,0,0,,3899,4503,5347,15115.41888,7077,,1066,3217.894027,1852.07241,1200,134,0
130,21242.73351,1,,1,55,,2,2,0,2,0,60521,,57244,,38453.09613,26547,2504,7,4472.312783,,,1500,0
131,37371.90988,2,1,2,23,2,-2,-2,-2,-2,-1,,,3508,-27,23534.14914,5906,5645,3508,953388.7269,,,3024,0
132,270861.4845,1,1,,,-1,-1,-1,0,-1,-1,95,2622,3301,3164,856.1040741,,2622,3301,-2752.24015,,1737,,0
133,,,,1,34,-9,,0,0,,0,253454,247743,229049,220951,,188108,9744,9553,95226.59347,,7253,,0
134,346566.0686,1,,1,46,,,0,0,,,227389,228719,229644,,237651.5307,228203,8210,8095,-16790.48752,8518.846097,,8200,0
135,-5335.788317,2,2,2,,0,,0,0,,0,28452,26145,26712,,2386.578316,-780,2000,1400,,528.3921203,,1560,0
136,252038.6584,1,2,1,34,,0,0,2,0,,,,13681,,5440.229881,13891,1500,1800,2429.233197,,0,327,0
137,138389.1679,1,1,2,27,,0,,0,0,,17444,19342,,24614,25590.27028,30229,2500,3000,,2702.722376,,5000,0
138,212440.2836,2,,1,33,0,0,0,,0,,7166,7997,,9189,6908.890956,,1500,,10249.08917,9.34039161,2000,,0
139,,2,3,,,0,,-1,-1,,-2,752,300,5880,0,17719.75464,0,300,,42175.98897,3740.536156,,0,1
140,95039.92805,1,1,2,,,0,0,0,0,,50801,50143,49586,19430,30668.9647,,2360,,103139.7259,144.8087003,870,,0
141,248659.9082,,,,47,,-2,-2,-2,-2,-2,0,0,0,0,-3577.803824,0,0,0,3791.223837,4158.351018,0,0,1
142,132116.0914,1,,2,,-1,-1,-1,-1,-1,-1,,0,,,18684.52948,,,416,348613.6436,-1224.355394,,832,0
143,,1,,2,23,1,,2,2,,,10131,10833,20583,19996,,18065,,10000,771426.7317,2776.347413,,600,0
144,,1,2,2,29,-2,,-2,-2,,-2,12159,10000,10000,10000,5255.956012,15846,10000,10000,,12959.72791,15863,,0
145,366630.5547,-1,-1,-2,-29,6,-1,1,1,-1,-9,1199,15586,344,,401281.7794,339,15586,344,-111755.6918,59397.78064,339,330,1
146,27601.94005,1,1,2,28,0,0,,0,0,3,,5913,7315,9195,9741.120129,,1000,1500,68602.25023,-1346.944747,1100,0,0
147,182042.3724,2,2,,27,0,0,0,0,0,0,,20313,20852,17560,,9100,1661,1200,75386.44588,2917.714014,182,0,1
148,9180822.787,-1,,-2,-34,1,2,,0,2,0,197236,,93069,,6160514.747,59875,8000,5000,,,,8500,0
149,77500.86732,2,2,1,23,,2,3,2,2,0,,10522,10205,,19790.38718,,,0,-25802.15843,-3572.450906,,1,0
150,251218.8889,,1,1,60,1,-2,-1,-1,-2,-1,-1100,,21400,0,,869,,22500,73296.9625,3317.282023,1000,,0
151,,-1,-2,-1,,0,,0,0,,0,86627,,,,1874486.809,55251,3455,3110,,36095.40575,2100,2602,0
152,,1,,2,25,0,0,0,0,0,0,42444,,43476,41087,39733.53503,31826,30000,3000,25281.6224,,2000,,0
153,363214.8767,1,,2,41,1,,-1,-1,,-2,,2906,,630,-6212.358923,0,,,,1189.560674,0,0,0
154,311116.1346,2,2,1,56,0,0,0,0,0,,,182350,,101783,,169311,8042,6700,-56797.09713,,7000,,0
155,,2,3,2,,0,0,0,0,0,0,9014,10406,11427,11935,28354.08297,14206,,1500,-24103.02349,1161.904638,1500,1500,0
156,151470.4786,,1,1,,,0,0,0,0,,23944,28049,32073,43129,38611.72879,48699,5000,5000,94059.8016,7144.088601,3000,5504,0
157,201329.3037,,,2,37,,,0,0,,0,105420,102870,,90938,70207.34378,,4000,3250,-21311.61463,1870.690519,3560,5000,0
158,176495.8139,,3,2,30,0,0,0,0,0,0,196031,196143,189524,,143930.6279,122324,7300,7108,-50635.24634,8812.148611,5000,4500,0
159,224735.1138,1,3,,45,2,3,4,4,3,6,,122904,129847,137277,132904.2081,154105,10478,10478,110797.2507,,11678,10478,0
160,38310.96055,,3,1,57,3,2,0,0,2,0,12854,,13447,13427,,14083,,,10450.56841,-5190.009573,600,,0
161,,1,1,,41,,2,2,2,2,,24357,27453,,28168,27439.184,,,0,203586.7808,,1200,1250,0
162,50980.78237,1,2,,27,2,-1,-1,,-1,,,390,,216,-4053.732793,540,390,780,,,0,390,0
163,287838.1517,,,1,47,-1,-1,-1,,-1,-1,1234,396,396,792,1055.764872,423,396,396,,2399.936472,423,369,0
164,,2,1,1,34,,0,2,0,0,0,141223,,151841,152803,,160220,17994,,145991.9858,6485.45065,6811,3920,0
165,,,2,,46,0,0,,,0,0,21148,23803,24908,26034,,27756,3000,1500,159494.9552,4485.630967,1500,1500,0
166,120822.67,2,1,2,27,0,0,,0,0,0,101640,104795,104855,74737,66385.81498,77254,5500,,7342.4375,-1615.326174,3000,2800,0
167,343272.463,,,2,50,,,-2,-2,,-2,6093,,8204,,5704.662565,13453,,,50267.92411,4538.335563,13453,,0
168,7488717.923,-1,-2,-1,-27,,2,2,,2,0,102349,,58824,29336,1029104.016,,,0,25243.67372,38765.89956,12,50000,0
169,,2,2,,,0,,0,0,,,,73854,75526,77317,90081.86708,88290,3500,3500,11891.30659,,4000,0,0
170,61770.08661,2,2,,,0,0,0,0,0,0,28040,29092,29366,27737,30888.87404,28806,,1442,,,1277,567,0
171,278411.3944,1,2,2,37,,,0,0,,0,37695,,,27598,30716.27274,,,2000,-49212.68587,,3000,2000,0
172,,2,,,30,-1,-1,-1,-1,-1,-1,688,3280,,4340,-9232.407211,800,3288,0,-26964.53943,2166.52593,,746,0
173,66098.42077,,2,2,22,-1,,,0,,0,8567,15273,11650,7457,,7725,15000,1000,,-1708.578744,5000,10000,0
174,3611301,-2,-1,-2,-24,1,-4,1,-5,-4,0,-709,-709,-709,-2898,822193.3241,,,0,-32967.94114,-1480.580972,,,0
175,354511.8509,1,1,2,29,1,,-1,-1,,-2,0,0,77,0,,0,0,77,412582.4781,-668.2964443,,0,0
176,,1,3,1,56,1,2,2,2,2,,,,,68557,85718.70329,,3000,3000,-7141.794927,,,0,1
177,55843.57758,1,1,2,30,-2,,0,,,0,6187,100,600,1438,-2132.174634,5380,,500,,,,,0
178,56851.76682,1,,2,30,1,2,0,0,2,2,,,,30221,,,0,,58586.17466,,0,,0
179,22297.44063,2,2,2,,0,0,0,0,0,,16001,,,13130,,,,,,3114.294236,1500,1000,0
180,,,2,1,29,0,0,2,0,0,0,,81811,80250,,,11486,5800,,,498.1828178,1000,0,0
181,260333.4305,1,1,2,37,-1,-1,2,0,-1,-1,12212,,25331,,19402.96099,1256,15000,,7100.538745,436.5484347,,65935,0
182,66708.51496,2,,2,35,0,,0,0,,0,49608,12412,14873,17364,14529.73559,,12500,6500,-9929.858572,-1565.585879,3000,2000,0
183,530456.1503,2,,1,47,0,0,0,0,0,0,56422,,,122967,105397.3789,70064,70010,30357,71760.23076,19654.98112,,20000,0
184,77254.88393,2,,1,24,0,0,0,,0,0,58024,57891,48839,18971,,,2500,,172055.2981,,737,2000,1
185,,1,2,2,25,,,0,0,,-1,10642,11677,13070,,-7775.940675,,,1593,,1418.394281,1824,0,0
186,107044.5141,2,2,1,38,1,,0,0,,0,,13961,15323,16268,5055.82377,16448,0,1600,229945.3561,1154.102594,,1500,1
187,364382.5751,2,,,32,1,-1,-1,-1,-1,-1,2616,57077,5287,,3008.347031,16240,57087,,,12700.58064,16250,38313,0
188,213184.1161,2,3,2,47,2,2,2,2,2,2,199436,202947,193936,196186,,,,7000,84909.55637,10857.87691,,,1
189,,2,2,1,,1,-1,0,,-1,0,0,,10270,13576,,14636,,5000,,-570.9404147,,2000,0
190,15696.61739,2,2,,31,1,,4,4,,2,,21087,21461,20835,7801.812768,,0,1000,33669.26092,-1539.589778,760,,0
191,294708.5658,1,1,2,32,0,0,0,0,0,0,59901,62147,62102,,58242.12075,43328,10020,6031,-38616.50458,4588.714486,5060,4223,0
192,35383.11367,2,,,,2,0,0,0,0,,19625,20347,21669,23005,,22873,,1664,71077.60822,2483.75661,900,846,1
193,185378.9194,2,,,29,-1,-1,-1,-2,-1,0,11386,,0,,,,199,0,-42993.80888,17234.07706,341,,0
194,196070.2469,,1,2,24,-1,-1,2,0,-1,-2,14670,22087,21282,10200,,0,,0,,,0,0,0
195,59205.70381,1,2,,36,0,0,0,,0,-1,47790,18114,,-14,5929.3907,658,2000,1000,81818.11859,-68.57492938,,20011,0
196,35667.71929,2,1,2,24,1,2,2,2,2,2,36166,37188,,38462,38570.08074,40035,,1400,,2105.606343,1600,0,1
197,3611301,-2,-2,-1,-34,0,-5,3,-8,-5,-3,,0,,116,529822.8513,1500,0,0,-2224.108139,-56272.73749,1500,0,1
198,15539.22299,2,1,2,,0,,0,,,0,18553,,19065,8332,7556.143272,19247,1500,1032,58006.92899,22132.39844,,1000,0
199,530237.1111,2,1,1,34,-2,,-2,-1,,-1,412,138,2299,,-6371.88184,1151,138,2299,77083.4897,-846.0848958,1151,,0
200,1841250.751,,-3,-2,-22,0,3,-1,-1,3,9,29010,29256,28122,29836,703871.3644,0,1000,,340662.7255,28437.15017,0,0,0
201,,2,1,1,38,-2,-2,-2,-2,-2,,,0,,0,18771.63922,,,0,134449.0762,-1884.254748,0,0,0
202,187738.5258,1,1,2,31,0,0,2,0,0,,27123,27299,17985,20225,40084.03758,10833,,0,,,,2500,0
203,160961.1995,,1,2,26,-1,0,-1,-1,0,-1,13424,18000,13001,5818,,,10000,13001,,11768.98195,487,7004,0
204,104250.4147,,,,26,0,0,0,,0,0,107314,110578,113736,116000,,122135,,5000,226291.896,7460.385195,5000,5000,0
205,355730.305,2,,1,48,,0,0,0,0,0,226430,231878,234192,,171348.6737,146511,9100,,88732.08232,5286.618758,5600,4100,0
206,40147.09168,,3,1,,-1,,0,0,,0,227,20351,20237,19339,15622.45217,19337,22359,1305,25413.53367,2692.053607,3457,1700,0
207,109099.805,1,1,1,47,,-1,,,-1,-1,390,1473,390,390,-8358.497551,0,1473,390,,-490.5187678,0,,0
208,235998.3547,2,2,,41,,,-1,-1,,-1,3088,1586,343,,8399.108449,0,1586,,,5927.882492,,,1
209,87610.92025,2,2,,24,,,0,0,,0,81625,81554,79599,49552,,,3200,3000,,-2914.189585,1800,1800,1
210,309730.4124,2,,,50,-1,-1,-1,-1,-1,-2,8872,,2854,1690,19626.67968,1709,4345,2854,-30530.38405,,1709,258,0
211,,-1,-1,,,0,0,-3,1,0,3,,108917,111520,8303,22100.42319,85632,5000,,,-57146.85616,,0,1
212,205007.3448,2,1,1,38,1,,-1,0,,-1,,0,250,123,,1222,0,250,,-646.4345056,1222,9616,0
